scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E2-JAM-SP,G10,,PW-WTC,301,301,1.0
E2-JAM-SP,G10,,E-CCDC,301,0,0.0
E2-JAM-SP,G10,,CD2-P,301,2,0.006644518272425249
E2-JAM-SP,G10,,clkBM,301,0,0.0
E2-JAM-SP,G25,,PW-WTC,301,301,1.0
E2-JAM-SP,G25,,E-CCDC,301,15,0.04983388704318937
E2-JAM-SP,G25,,CD2-P,301,38,0.12624584717607973
E2-JAM-SP,G25,,clkBM,301,0,0.0
E2-JAM-SP,G26,,PW-WTC,301,301,1.0
E2-JAM-SP,G26,,E-CCDC,301,0,0.0
E2-JAM-SP,G26,,CD2-P,301,0,0.0
E2-JAM-SP,G26,,clkBM,301,0,0.0
E2-JAM-SP,G32,,PW-WTC,301,301,1.0
E2-JAM-SP,G32,,E-CCDC,301,0,0.0
E2-JAM-SP,G32,,CD2-P,301,2,0.006644518272425249
E2-JAM-SP,G32,,clkBM,301,0,0.0
