segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
au,0,,575.2333333333333,560.2333333333333,590.2333333333333
au,1,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,2,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,3,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,4,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,5,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,6,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,7,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,8,570.0,575.2333333333333,560.2333333333333,590.2333333333333
au,9,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,10,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,11,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,12,570.0,575.2333333333333,560.2333333333333,590.2333333333333
au,13,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,14,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,15,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,16,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,17,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,18,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,19,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,20,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,21,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,22,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,23,571.0,575.2333333333333,560.2333333333333,590.2333333333333
au,24,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,25,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,26,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,27,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,28,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,29,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,30,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,31,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,32,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,33,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,34,572.0,575.2333333333333,560.2333333333333,590.2333333333333
au,35,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,36,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,37,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,38,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,39,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,40,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,41,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,42,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,43,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,44,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,45,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,46,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,47,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,48,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,49,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,50,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,51,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,52,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,53,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,54,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,55,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,56,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,57,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,58,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,59,573.0,575.2333333333333,560.2333333333333,590.2333333333333
au,60,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,61,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,62,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,63,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,64,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,65,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,66,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,67,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,68,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,69,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,70,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,71,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,72,574.0,575.2333333333333,560.2333333333333,590.2333333333333
au,73,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,74,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,75,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,76,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,77,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,78,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,79,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,80,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,81,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,82,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,83,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,84,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,85,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,86,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,87,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,88,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,89,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,90,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,91,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,92,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,93,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,94,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,95,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,96,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,97,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,98,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,99,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,100,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,101,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,102,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,103,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,104,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,105,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,106,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,107,575.0,575.2333333333333,560.2333333333333,590.2333333333333
au,108,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,109,576.0,575.2333333333333,560.2333333333333,590.2333333333333
au,110,575.0,575.2333333333333,560.2333333333333,590.2333333333333
