scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E3-FCS,G18,,PW-WTC,900,617,0.6855555555555556
E3-FCS,G18,,E-CCDC,900,205,0.22777777777777777
E3-FCS,G18,,CD2-P,900,193,0.21444444444444444
E3-FCS,G18,,clkBM,900,870,0.9666666666666667
E3-FCS,G23,,PW-WTC,900,809,0.8988888888888888
E3-FCS,G23,,E-CCDC,900,190,0.2111111111111111
E3-FCS,G23,,CD2-P,900,221,0.24555555555555555
E3-FCS,G23,,clkBM,900,870,0.9666666666666667
E3-FCS,G24,,PW-WTC,900,868,0.9644444444444444
E3-FCS,G24,,E-CCDC,900,226,0.2511111111111111
E3-FCS,G24,,CD2-P,900,209,0.23222222222222222
E3-FCS,G24,,clkBM,900,870,0.9666666666666667
E3-FCS,G29,,PW-WTC,900,717,0.7966666666666666
E3-FCS,G29,,E-CCDC,900,208,0.2311111111111111
E3-FCS,G29,,CD2-P,900,208,0.2311111111111111
E3-FCS,G29,,clkBM,900,870,0.9666666666666667
