segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
au,0,,590.6883333333334,575.6883333333334,605.6883333333334
au,1,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,2,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,3,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,4,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,5,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,6,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,7,592.0,590.6883333333334,575.6883333333334,605.6883333333334
au,8,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,9,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,10,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,11,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,12,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,13,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,14,592.0,590.6883333333334,575.6883333333334,605.6883333333334
au,15,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,16,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,17,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,18,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,19,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,20,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,21,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,22,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,23,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,24,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,25,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,26,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,27,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,28,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,29,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,30,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,31,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,32,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,33,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,34,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,35,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,36,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,37,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,38,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,39,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,40,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,41,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,42,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,43,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,44,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,45,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,46,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,47,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,48,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,49,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,50,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,51,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,52,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,53,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,54,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,55,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,56,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,57,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,58,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,59,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,60,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,61,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,62,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,63,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,64,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,65,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,66,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,67,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,68,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,69,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,70,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,71,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,72,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,73,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,74,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,75,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,76,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,77,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,78,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,79,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,80,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,81,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,82,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,83,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,84,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,85,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,86,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,87,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,88,590.0,590.6883333333334,575.6883333333334,605.6883333333334
au,89,591.0,590.6883333333334,575.6883333333334,605.6883333333334
au,90,591.0,590.6883333333334,575.6883333333334,605.6883333333334
