segment,end_index,PW_WTC,E_CCDC,CD2_P
stream,0,,,
stream,1,,,
stream,2,,,
stream,3,,,
stream,4,,,
stream,5,,,
stream,6,,,
stream,7,,,
stream,8,,,
stream,9,,,
stream,10,,,
stream,11,,,
stream,12,,,
stream,13,,,
stream,14,,,
stream,15,,,
stream,16,,,
stream,17,,,
stream,18,,,
stream,19,,,
stream,20,,37.11902321943164,
stream,21,,35.11924182516448,0.9347037995962755
stream,22,,36.975005587190914,1.0179094289274584
stream,23,,35.48634753785196,1.142640485987755
stream,24,,30.214401297881953,1.0889000352037383
stream,25,,23.86231842297837,1.1166256899143159
stream,26,,24.326192089151434,1.143683262285584
stream,27,,23.21652298315365,1.1717572888574088
stream,28,,25.789570577944264,1.263978103668753
stream,29,,29.023029409018747,1.1928409156617055
stream,30,,27.373113484847256,1.1643615685040998
stream,31,,31.556057632691804,1.2959364619883744
stream,32,,32.0158439040348,1.335062494101894
stream,33,,34.63651309805082,1.3601769930748149
stream,34,,35.8769125129418,1.5720305499670364
stream,35,,38.365460349203474,1.8898780643317776
stream,36,,39.88138070811487,1.8576305438489074
stream,37,,39.28702862704144,1.7645359749536997
stream,38,,40.1334701356366,1.7725978614497928
stream,39,,41.58692448244419,1.6855099895395582
stream,40,,38.784825808442285,1.6112115837212595
stream,41,,38.963923273852956,1.4470063376725963
stream,42,,42.60693784064173,1.707813673190236
stream,43,,42.59689578455581,1.8807162703435563
stream,44,,42.18039335776256,1.8815289891836993
stream,45,,44.46231382058165,1.9377625503834413
stream,46,,44.02031846240682,1.856909548821725
stream,47,,43.552860958042444,1.882254176681631
stream,48,,40.98731524361653,1.8982373930914131
stream,49,,38.144218714178336,2.09915301044166
stream,50,,37.777141168791545,2.1362747817429444
stream,51,,30.921624453888032,2.0021476975454524
stream,52,,30.5035579195819,1.8981762324128815
stream,53,,27.454043383177794,1.8521819123255447
stream,54,,25.895815276753904,1.5655043793515884
stream,55,,23.15415732585417,1.2476568660728526
stream,56,,21.409369925636486,1.2476568654630025
stream,57,,23.920656131047323,1.3635173651848302
stream,58,,24.356279286806902,1.3605883675441326
stream,59,,24.042545627634674,1.6549446078768155
stream,60,,25.23332184917377,1.6483900055578964
stream,61,,25.012170103044795,1.6987655128548291
stream,62,,18.599070712777554,1.3817246290125476
stream,63,,19.11526206719567,1.0854251149715153
stream,64,,19.11426106887587,1.0975464783045341
stream,65,,16.866375888943658,1.019416772856143
stream,66,,15.120524598521303,1.019793595471434
stream,67,,16.576863198607334,1.007470542757695
stream,68,,15.262786901877789,0.8916099862692101
stream,69,,15.46605093082529,0.9079374115576794
stream,70,,15.263932178704067,0.8770219715479484
stream,71,,14.837648928295634,0.8750788155483559
stream,72,,14.854458822541126,0.8572726418182198
stream,73,,14.939263993718003,0.8572726440630117
stream,74,,15.403467375767297,0.8919297875830255
stream,75,,15.492528004997343,0.8975555946530207
stream,76,,16.36977201234907,0.9007167952584674
stream,77,,13.174198178747371,0.8450026818602905
stream,78,,18.341540742163886,1.2058075880622203
stream,79,,21.111604867459157,0.9462511017555715
stream,80,,27.615597521320733,0.9597371414787558
stream,81,,30.888884108292803,0.9488012641849779
stream,82,,31.137921314449475,0.9663447337524769
stream,83,,30.76865883576538,1.055375706880428
stream,84,,31.448047510692646,1.080724383616246
stream,85,,35.0187086082655,1.123066505565086
stream,86,,38.1839229911899,1.124748945666461
stream,87,,38.26075665418653,1.084755283267407
stream,88,,37.22789611812377,1.085885737645895
stream,89,,37.15394656320111,0.860405625842206
stream,90,,37.74755564880319,0.9276850339760655
stream,91,,39.45199644529349,0.9376025039991457
stream,92,,40.835987080909014,0.9291638170912943
stream,93,,47.932466919039825,1.0100168210774052
stream,94,,60.209369867091894,1.0016045998297167
stream,95,,75.59432422078838,1.0016045992694373
stream,96,,83.01372098389139,1.03336124298926
stream,97,,91.05054976153149,0.97153240824136
stream,98,,90.61221011876093,0.6059429107343187
stream,99,,97.46552232860935,0.5880205524870457
stream,100,,106.85631143254723,0.6067535006446044
stream,101,,104.76217116805763,0.9485054308632968
stream,102,,107.66454498896181,0.9233909318903758
stream,103,,107.66619838519708,0.8978732289597462
stream,104,,106.98077973602545,0.866116583719974
stream,105,,103.4340418798672,0.8172198271301644
stream,106,,101.04265385687525,0.8330258412525395
stream,107,,99.86321484556973,0.8853425113747371
stream,108,,103.00824329126544,0.9443583870143601
stream,109,,102.58494969208472,1.1596643400333426
stream,110,,102.09447799591902,1.0786076075606321
stream,111,,100.37384649494008,1.0673560058906768
stream,112,,99.58308233251314,1.0770718037099223
stream,113,,95.48468121725578,1.0246696479988568
stream,114,,88.93851343405764,1.0119107136275185
stream,115,,74.27330255688963,1.087253953963344
stream,116,,71.0677075758872,1.1113539719223975
stream,117,,63.97351506703705,1.1731827582993357
stream,118,,56.765978313497484,1.1885813775822847
stream,119,,46.83966206881548,1.1774173571361017
stream,120,,29.157418583012557,1.1507080771238964
stream,121,,29.692437197510042,0.8044343770834099
stream,122,,26.295021958765798,0.9090106708897314
stream,123,,26.13842592821775,0.8441632548048539
stream,124,,26.13606830002168,0.8343313352421
stream,125,,26.8443611486614,0.8504550974776663
stream,126,,30.390250475582107,0.8863852480986664
stream,127,,30.158004624677844,0.9172741583933832
stream,128,,26.152067335181854,0.8835194024139004
stream,129,,26.359626087889293,0.6667346983399282
stream,130,,26.729197800850788,0.6458548785695527
stream,131,,29.136304162366958,0.8400426044179947
stream,132,,28.779380741747534,1.0010866470813384
stream,133,,26.813989044340456,0.9766382234573264
stream,134,,23.739712913353493,0.9697068330264474
stream,135,,33.12249019152876,0.9544264188107532
stream,136,,33.66959288304901,0.915098799503812
stream,137,,50.73768583507278,0.9708128895911871
stream,138,,54.17359538709144,1.1653205861237983
stream,139,,69.25953462493611,1.341097369704095
stream,140,,78.32360824680887,1.3564675097844654
stream,141,,81.17925337687024,1.3412399084365778
stream,142,,87.70108912250177,1.2254995767678332
stream,143,,92.30449356382857,1.2302841375980946
stream,144,,93.90667783118944,1.256645163681328
stream,145,,94.03371098682759,1.2524981270749513
stream,146,,89.94663362278725,1.269927492942284
stream,147,,90.66732775781362,1.2803969860997575
stream,148,,90.5471700456928,1.2907482777920838
stream,149,,90.35286581318377,1.2914734018411103
stream,150,,92.61175646878505,1.3452688765365566
stream,151,,92.06013453020017,1.1569106455137397
stream,152,,101.2236899917423,1.0880872883760382
stream,153,,109.56620198919008,1.0848099818392545
stream,154,,107.79958121186726,1.2348916773153684
stream,155,,99.47878864176698,1.1707979024388664
stream,156,,113.22571857466544,1.5028564458025546
stream,157,,106.22216292524311,1.4264091770023128
stream,158,,129.01316632138227,1.3412338528881351
stream,159,,125.04418268249587,1.2508950410397501
stream,160,,119.79903546092066,1.3048391740213887
stream,161,,132.13234812030484,1.4438974884816975
stream,162,,134.40213870466218,1.4756541311557372
stream,163,,132.97916056135986,1.5190412975492569
stream,164,,138.17963441126258,1.5190413302287342
stream,165,,137.2921730937466,1.7575777797472505
stream,166,,137.26449088990512,1.6947916919656407
stream,167,,137.30579032487069,1.7058700822088413
stream,168,,137.38494466190946,1.6702576480523599
stream,169,,138.55297844191676,1.7606228808473143
stream,170,,135.8517805412268,1.7637576106266035
stream,171,,138.0453450447259,1.9426954079090208
stream,172,,132.1625989402044,1.840758924653926
stream,173,,123.00121480823337,1.8860280827719929
stream,174,,121.61346600845621,1.7349014788385249
stream,175,,124.72695451441076,1.890059016961112
stream,176,,107.17327799965764,1.5639746010562896
stream,177,,96.20293546406295,1.5433820243334122
stream,178,,73.80624013526712,1.4834984966865228
stream,179,,67.80004094221317,1.3948993284693945
stream,180,,67.55250964615597,1.3361991097744146
stream,181,,51.36265441687025,1.2096980366699814
stream,182,,57.457373286011574,1.5345399988056907
stream,183,,64.45606399258438,1.5065229729780065
stream,184,,65.56894224461456,1.4806548349114872
stream,185,,68.15799772126488,1.268943799641361
stream,186,,77.02292192423096,1.335329072691541
stream,187,,79.88220541554841,1.2613158732720886
stream,188,,79.67341607141609,1.3835822088434713
stream,189,,78.49801852578086,1.2990464385521296
stream,190,,78.48546221468182,1.2476259272888883
stream,191,,74.45379018851311,1.0653232285598402
stream,192,,71.10894727513264,1.0708329351245407
stream,193,,73.63080464626177,1.0636407591593762
stream,194,,73.76369306391696,1.1428154053871717
stream,195,,71.64668173561321,1.0399744906657997
stream,196,,72.85625511312577,1.0092342689236564
stream,197,,78.98354413448322,1.0271565237028237
stream,198,,82.84316295737953,0.9647736699291806
stream,199,,94.47272548928198,1.0294438069302083
stream,200,,91.36692583844054,1.4690156667917804
stream,201,,90.72387348919099,1.4716860298236916
stream,202,,80.13116102938638,1.332330418100253
stream,203,,70.3206553864686,1.5619635756876191
stream,204,,63.11845170174731,1.6424398184327904
stream,205,,61.84641496175901,1.7602740530530019
stream,206,,53.20796796763182,1.787386622074855
stream,207,,49.87003861759824,1.8040643991430938
stream,208,,50.19616465488177,1.7246026323927441
stream,209,,49.98802563716004,1.7359133241036477
stream,210,,50.93010659227226,1.746527393037928
stream,211,,51.05490016963927,1.7612029538734502
stream,212,,52.3992428793348,1.7879122676145711
stream,213,,51.55500437483461,1.7489940672245416
stream,214,,52.85934174958742,1.6663689823914707
stream,215,,52.233072034421866,1.6157633050389082
stream,216,,49.25443015305918,1.6631812957997172
