scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E2-PCS,G01,control,PW-WTC,900,0,0.0
E2-PCS,G01,control,E-CCDC,900,14,0.015555555555555555
E2-PCS,G01,control,CD2-P,900,25,0.027777777777777776
E2-PCS,G01,control,clkBM,900,0,0.0
E2-PCS,G08,control,PW-WTC,900,0,0.0
E2-PCS,G08,control,E-CCDC,900,2,0.0022222222222222222
E2-PCS,G08,control,CD2-P,900,15,0.016666666666666666
E2-PCS,G08,control,clkBM,900,0,0.0
E2-PCS,G09,target,PW-WTC,900,856,0.9511111111111111
E2-PCS,G09,target,E-CCDC,900,891,0.99
E2-PCS,G09,target,CD2-P,900,900,1.0
E2-PCS,G09,target,clkBM,900,0,0.0
E2-PCS,G27,control,PW-WTC,900,0,0.0
E2-PCS,G27,control,E-CCDC,900,18,0.02
E2-PCS,G27,control,CD2-P,900,28,0.03111111111111111
E2-PCS,G27,control,clkBM,900,0,0.0
