segment,end_index,PW_WTC,E_CCDC,CD2_P
au,0,,,
au,1,,,
au,2,,,
au,3,,,
au,4,,,
au,5,,,
au,6,,,
au,7,,,
au,8,,,
au,9,,,
au,10,,,
au,11,,,
au,12,,,
au,13,,,
au,14,,,
au,15,,,
au,16,,,
au,17,,,
au,18,,,
au,19,,,
au,20,,67.61469851759398,
au,21,,69.19534419988078,1.5797629652009986
au,22,,69.06137026253346,1.5944344795323924
au,23,,77.79508305345959,1.569707055112068
au,24,,76.67471906437034,1.7525964492855302
au,25,,79.17577548136282,1.75259645071373
au,26,,77.85111300432793,1.6501527850358972
au,27,,76.9277299319112,1.6453539849826515
au,28,,76.48543873235501,1.6477717395266522
au,29,,62.51085964997517,1.4331949066603011
au,30,,61.608216985702825,1.2460199961954763
au,31,,51.520766494161016,1.0850187266269569
au,32,,44.423931298681154,1.0777654841774769
au,33,,42.64252189358308,1.0486791978630812
au,34,,40.62016123164499,1.0559507693798813
au,35,,44.603765018658926,1.1657576677426131
au,36,,43.565109624481515,1.1315242290393426
au,37,,44.81229036399493,0.7736770673541855
au,38,,49.478883768505426,0.7736770345358175
au,39,,46.41769518561661,0.7079578027112522
au,40,,40.07611990783625,0.6933963116126179
au,41,,36.81809637392119,0.6932679880135451
au,42,,35.27137828738313,0.6809958925222416
au,43,,26.289296084136268,0.5862269603697615
au,44,,26.035966143095557,0.410535804855715
au,45,,27.70610624279683,0.4616385522475014
au,46,,27.39202255160846,0.4909265455002034
au,47,,36.11895362390068,0.6490335040543987
au,48,,41.02879723357101,0.6710682094074069
au,49,,45.199847618555005,0.6661777228430725
au,50,,58.75874988752577,0.6659026908443165
au,51,,64.62571494267263,0.734259600113947
au,52,,68.8696114839506,0.736714015075224
au,53,,72.57232062508638,0.7293507664777062
au,54,,72.70136887777814,0.8099431185752437
au,55,,67.16322491502797,0.7074994504251841
au,56,,62.99496473709245,0.7417329263634083
au,57,,61.40542536848056,0.7271714606927733
au,58,,56.83238703862422,0.7027190234976021
au,59,,61.458955064838165,0.7956383338538721
au,60,,75.23157158684043,0.8639952923745464
au,61,,86.27828593509622,0.8518515697333798
au,62,,90.53026159252477,0.9004815371276246
au,63,,93.95222643326873,0.8857917442762038
au,64,,95.93755130025758,0.8785018465367427
au,65,,93.10219700818287,0.7982211516965926
au,66,,92.23040507181578,0.8296518599028467
au,67,,83.05761837139079,0.669090479630533
au,68,,78.41684940440666,0.6689254920587951
au,69,,79.70363131886381,0.7175005074897498
au,70,,69.15219589465188,0.65678184253656
au,71,,71.13352279998476,0.6127124392941776
au,72,,67.30283747268379,0.800492314179376
au,73,,65.44021037936758,0.8369418862244915
au,74,,70.10695742721784,0.7733654383929925
au,75,,70.4858779235943,0.8343591679502765
au,76,,73.61149303845085,0.8487556573299824
au,77,,73.45628738829002,0.9171125104334517
au,78,,74.94550855140167,1.0269195443951586
au,79,,71.72194909219604,0.86839110225501
au,80,,69.56117576962859,0.9610354038607186
au,81,,66.76595328460203,0.9658892265580531
au,82,,73.58208077946782,0.9222047422374166
au,83,,89.03433662163238,0.9588559274198972
au,84,,100.40386894974186,0.9661458269756433
au,85,,116.95966298061069,0.9662374705048511
au,86,,132.13116416692966,0.8981555387051651
au,87,,135.23663756439868,1.0319383111113878
au,88,,134.44597819014936,1.2997054481817465
au,89,,132.4943276533623,1.316739720787251
au,90,,146.02206998991568,1.4699560097679274
au,91,,154.09592591128325,1.4456868321637986
au,92,,175.23440050244193,1.2627058022658968
au,93,,194.47790168735452,1.2262745620790565
au,94,,205.42499983751205,1.2166769046852162
au,95,,216.53422990650617,1.1727724078856634
au,96,,232.9638410764542,1.1581742283962393
au,97,,236.10474426503598,1.3117572483642193
au,98,,241.47130864669145,1.2262376664718657
au,99,,241.92002881064363,1.2604161078818636
au,100,,230.04230287922215,1.2092218071946697
au,101,,221.79865356154664,1.2043679949756667
au,102,,211.24668870057934,1.221457259379702
au,103,,192.81753678638086,1.1848060743252793
au,104,,182.17923209444376,1.2068958271022805
au,105,,166.1342744475807,1.2019503542430625
au,106,,177.3134661497009,1.818700513365228
au,107,,188.1564933960718,1.7529813388201885
au,108,,193.69596163814927,1.5290086560745357
au,109,,213.82283164040146,1.6828665048270088
au,110,,206.66009563579337,1.6317455424069125
au,111,,196.42528664933448,1.646288707631853
au,112,,174.81285829467976,1.7728182266449997
au,113,,153.32831598228606,1.7801631420801856
au,114,,137.35634829776635,1.772744928909966
au,115,,127.91824414136748,1.8577510572703237
au,116,,109.51365811504236,1.8237742673029773
au,117,,111.31613723938703,1.652882103875155
au,118,,107.94173005264336,1.6432844759417062
au,119,,114.71123708070779,1.6576810039884788
au,120,,117.70920700240158,1.6162309503613517
au,121,,119.46005940376902,1.6211764223046006
au,122,,119.45363586292677,1.604087176157353
au,123,,121.70645207838844,1.640536712625524
au,124,,118.92659694595105,1.6917492973559813
au,125,,119.12550646906185,1.8235176883905513
au,126,,93.75769364124268,1.428212541291854
au,127,,79.81543741966459,1.4284875205819973
au,128,,74.21221325528992,1.367768821071298
au,129,,50.14841339929785,1.1701164166847209
au,130,,40.51870471397017,1.0606761535209628
au,131,,34.71417850089708,1.0534779072944216
au,132,,35.10355693727502,0.9270400481150995
au,133,,34.849395388406556,0.9220945585670921
au,134,,35.17890665052253,0.9658706193071744
au,135,,34.98480503922754,0.9905980267423911
au,136,,36.39059080661042,1.3191389129596276
au,137,,31.46592383468401,1.458343909060834
au,138,,27.958449818710438,1.4509256980989027
au,139,,23.378704822103757,1.534064139758388
au,140,,21.075285537471107,1.5337891624165017
au,141,,20.715350980809987,1.5337891637205572
au,142,,25.495297292175643,1.5630771372843575
au,143,,27.174028005231552,1.5290453586896975
au,144,,37.024289014324715,1.4778327753913543
au,145,,35.097985709730686,1.635701347589415
au,146,,38.14893622575879,1.5240632340567364
au,147,,38.58672879386308,1.506753993994365
au,148,,38.07948591705995,1.5236782380121867
au,149,,38.284079882795226,1.5018085101406713
au,150,,38.49225272190417,1.5017901818456099
au,151,,43.46042753279538,1.603885587718813
au,152,,46.99189844723691,1.5989950825056924
au,153,,55.781071735933715,1.6330268953771543
au,154,,72.0344903919304,1.6184287645863225
au,155,,77.05174329254807,1.5525996748338589
au,156,,86.4369650225495,1.24587349025453
au,157,,89.24140717799274,1.1654276104486312
au,158,,107.06196966989907,1.3796009179772346
au,159,,105.22558741551227,1.467354734578779
au,160,,105.23633798413911,1.4237252658775539
au,161,,104.06479449688119,1.4237252652255261
au,162,,99.6540553335206,1.4749379664224302
au,163,,98.10355811448203,1.4969726717754381
au,164,,91.58557323502598,1.460339775176924
au,165,,104.3882890773345,1.2780920141072254
au,166,,112.92491823409703,1.1682851120308297
au,167,,127.8893868132172,1.1197101860759964
au,168,,140.3435479180204,1.1026942998291092
au,169,,156.55495851678666,1.1076397818626034
au,170,,161.59638217344016,1.1951920001260228
au,171,,158.91261037802602,1.0930049182200436
au,172,,155.14151817184495,1.1148196825550378
au,173,,146.61253508274666,1.146452039841295
au,174,,130.44948816617034,1.1124202421062774
au,175,,124.61753239066472,1.051334938575484
au,176,,112.68351410061578,1.0344107413666979
au,177,,115.25843122437342,1.034062501088758
au,178,,102.04287998837462,0.8126359120331282
au,179,,123.40931311970174,0.8827505453390737
au,180,,129.02668338464872,1.0802380499624387
au,181,,130.5317193985172,1.1241608497062188
au,182,,131.04582233653946,1.0363152580742998
au,183,,128.45174491876045,1.0192260077118296
au,184,,125.6742821137495,1.0216254160736085
au,185,,120.69316359169187,1.423780424695536
au,186,,113.35509121897641,1.4261981860265953
au,187,,99.31383940368288,1.4601749763859413
au,188,,96.67269648884512,1.6139047325218516
au,189,,83.15106536360582,1.6940937807202774
au,190,,83.65060840045058,1.621231355052163
au,191,,81.2791123292827,1.8354046975789764
au,192,,82.68576307105133,1.8624031732161523
au,193,,82.26537121331066,1.8088827397411251
au,194,,84.21992451607119,1.8577510309565972
au,195,,83.05633988322603,1.9599380168046372
au,196,,82.72159605767541,1.9598463738218115
au,197,,78.26749393005521,1.8868372797536377
au,198,,73.89227786973876,1.9112713864739472
au,199,,53.970270220792415,1.6556663168457475
au,200,,50.64642502272124,1.4581788133944675
au,201,,50.2786860918607,1.443543968236323
au,202,,48.90970096900393,1.5533326660288767
au,203,,50.565189155716844,1.5972554343052825
au,204,,54.521052264082314,1.6095274910238326
au,205,,48.5232067524865,1.1048370752189303
au,206,,43.220537713799445,1.1169808364214993
au,207,,45.11298919213263,1.1903382657064854
au,208,,38.347578402453635,1.0293552568804183
au,209,,45.36436233827398,1.0296667851049817
au,210,,45.03422973723115,1.0295384633261073
au,211,,63.19052909784476,0.9690948219713558
au,212,,73.91903197562611,0.9250804105275025
au,213,,81.65821807377735,0.9250804105275023
au,214,,80.41544155113131,0.9613466600222627
au,215,,80.42783247293032,0.8761755148858892
au,216,,87.37941522039092,1.124435778469779
au,217,,87.24608625103735,1.197793179566009
au,218,,99.46215874482418,1.3947857566288724
au,219,,102.40215989431299,1.3827887164617243
au,220,,126.25593639641167,1.5797813519253525
au,221,,142.03682219214,1.5944161480113843
au,222,,147.20924107160786,1.618795267660637
au,223,,160.10152819398758,1.6769679422832182
au,224,,171.74318687023788,1.6695497187403137
au,225,,191.563160053284,1.6865656738623511
au,226,,192.33935827786863,2.1839662678113543
au,227,,198.49400727481512,2.2639537184115204
au,228,,195.449035562312,2.595553975738175
au,229,,185.71216039825185,2.522380011472851
au,230,,183.39927367406432,2.5761753970894006
au,231,,166.32165142842223,2.4224456959173395
au,232,,156.6644240828228,2.4396265889272004
au,233,,156.7792676705726,2.5129290178572776
au,234,,165.7460422343966,2.4327399703108794
