scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E2-FCS,G04,,PW-WTC,900,630,0.7
E2-FCS,G04,,E-CCDC,900,75,0.08333333333333333
E2-FCS,G04,,CD2-P,900,77,0.08555555555555555
E2-FCS,G04,,clkBM,900,876,0.9733333333333334
E2-FCS,G08,,PW-WTC,900,649,0.7211111111111111
E2-FCS,G08,,E-CCDC,900,54,0.06
E2-FCS,G08,,CD2-P,900,55,0.06111111111111111
E2-FCS,G08,,clkBM,900,876,0.9733333333333334
E2-FCS,G16,,PW-WTC,900,635,0.7055555555555556
E2-FCS,G16,,E-CCDC,900,74,0.08222222222222222
E2-FCS,G16,,CD2-P,900,78,0.08666666666666667
E2-FCS,G16,,clkBM,900,876,0.9733333333333334
E2-FCS,G26,,PW-WTC,900,622,0.6911111111111111
E2-FCS,G26,,E-CCDC,900,90,0.1
E2-FCS,G26,,CD2-P,900,99,0.11
E2-FCS,G26,,clkBM,900,876,0.9733333333333334
E2-FCS,G27,,PW-WTC,900,653,0.7255555555555555
E2-FCS,G27,,E-CCDC,900,56,0.06222222222222222
E2-FCS,G27,,CD2-P,900,56,0.06222222222222222
E2-FCS,G27,,clkBM,900,876,0.9733333333333334
E2-FCS,G31,,PW-WTC,900,746,0.8288888888888889
E2-FCS,G31,,E-CCDC,900,100,0.1111111111111111
E2-FCS,G31,,CD2-P,900,102,0.11333333333333333
E2-FCS,G31,,clkBM,900,876,0.9733333333333334
