segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,0,,138.78833333333333,123.78833333333333,153.78833333333333
stream,1,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,2,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,3,138.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,4,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,5,138.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,6,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,7,138.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,8,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,9,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,10,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,11,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,12,138.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,13,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,14,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,15,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,16,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,17,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,18,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,19,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,20,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,21,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,22,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,23,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,24,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,25,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,26,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,27,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,28,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,29,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,30,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,31,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,32,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,33,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,34,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,35,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,36,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,37,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,38,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,39,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,40,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,41,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,42,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,43,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,44,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,45,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,46,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,47,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,48,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,49,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,50,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,51,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,52,139.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,53,140.0,138.78833333333333,123.78833333333333,153.78833333333333
stream,54,139.0,138.78833333333333,123.78833333333333,153.78833333333333
