segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,0,,606.7766666666666,591.7766666666666,621.7766666666666
stream,1,602.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,2,602.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,3,602.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,4,602.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,5,602.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,6,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,7,602.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,8,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,9,602.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,10,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,11,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,12,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,13,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,14,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,15,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,16,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,17,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,18,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,19,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,20,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,21,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,22,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,23,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,24,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,25,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,26,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,27,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,28,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,29,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,30,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,31,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,32,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,33,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,34,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,35,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,36,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,37,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,38,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,39,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,40,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,41,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,42,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,43,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,44,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,45,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,46,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,47,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,48,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,49,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,50,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,51,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,52,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,53,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,54,604.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,55,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,56,603.0,606.7766666666666,591.7766666666666,621.7766666666666
stream,57,604.0,606.7766666666666,591.7766666666666,621.7766666666666
