scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E3-PCS,G15,control,PW-WTC,900,0,0.0
E3-PCS,G15,control,E-CCDC,900,0,0.0
E3-PCS,G15,control,CD2-P,900,0,0.0
E3-PCS,G15,control,clkBM,900,100,0.1111111111111111
E3-PCS,G23,control,PW-WTC,900,0,0.0
E3-PCS,G23,control,E-CCDC,900,51,0.056666666666666664
E3-PCS,G23,control,CD2-P,900,0,0.0
E3-PCS,G23,control,clkBM,900,100,0.1111111111111111
E3-PCS,G24,control,PW-WTC,900,0,0.0
E3-PCS,G24,control,E-CCDC,900,53,0.058888888888888886
E3-PCS,G24,control,CD2-P,900,0,0.0
E3-PCS,G24,control,clkBM,900,100,0.1111111111111111
E3-PCS,G29,target,PW-WTC,900,797,0.8855555555555555
E3-PCS,G29,target,E-CCDC,900,740,0.8222222222222222
E3-PCS,G29,target,CD2-P,900,900,1.0
E3-PCS,G29,target,clkBM,900,100,0.1111111111111111
