scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E1-JAM-SP,G05,,PW-WTC,301,301,1.0
E1-JAM-SP,G05,,E-CCDC,301,0,0.0
E1-JAM-SP,G05,,CD2-P,301,0,0.0
E1-JAM-SP,G05,,clkBM,301,0,0.0
E1-JAM-SP,G15,,PW-WTC,301,301,1.0
E1-JAM-SP,G15,,E-CCDC,301,0,0.0
E1-JAM-SP,G15,,CD2-P,301,0,0.0
E1-JAM-SP,G15,,clkBM,301,0,0.0
E1-JAM-SP,G20,,PW-WTC,301,301,1.0
E1-JAM-SP,G20,,E-CCDC,301,0,0.0
E1-JAM-SP,G20,,CD2-P,301,0,0.0
E1-JAM-SP,G20,,clkBM,301,0,0.0
E1-JAM-SP,G24,,PW-WTC,301,301,1.0
E1-JAM-SP,G24,,E-CCDC,301,11,0.036544850498338874
E1-JAM-SP,G24,,CD2-P,301,8,0.026578073089700997
E1-JAM-SP,G24,,clkBM,301,0,0.0
E1-JAM-SP,G29,,PW-WTC,301,301,1.0
E1-JAM-SP,G29,,E-CCDC,301,15,0.04983388704318937
E1-JAM-SP,G29,,CD2-P,301,0,0.0
E1-JAM-SP,G29,,clkBM,301,0,0.0
