scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E4-JAM-SP,G10,,PW-WTC,301,301,1.0
E4-JAM-SP,G10,,E-CCDC,301,0,0.0
E4-JAM-SP,G10,,CD2-P,301,0,0.0
E4-JAM-SP,G10,,clkBM,301,0,0.0
E4-JAM-SP,G25,,PW-WTC,301,301,1.0
E4-JAM-SP,G25,,E-CCDC,301,1,0.0033222591362126247
E4-JAM-SP,G25,,CD2-P,301,17,0.05647840531561462
E4-JAM-SP,G25,,clkBM,301,0,0.0
E4-JAM-SP,G32,,PW-WTC,301,301,1.0
E4-JAM-SP,G32,,E-CCDC,301,0,0.0
E4-JAM-SP,G32,,CD2-P,301,0,0.0
E4-JAM-SP,G32,,clkBM,301,0,0.0
