segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,150,478.0,478.045,463.045,493.045
stream,151,478.0,478.045,463.045,493.045
stream,152,477.0,478.045,463.045,493.045
stream,153,478.0,478.045,463.045,493.045
stream,154,478.0,478.045,463.045,493.045
stream,155,479.0,478.045,463.045,493.045
stream,156,478.0,478.045,463.045,493.045
stream,157,479.0,478.045,463.045,493.045
stream,158,478.0,478.045,463.045,493.045
stream,159,479.0,478.045,463.045,493.045
stream,160,478.0,478.045,463.045,493.045
stream,161,478.0,478.045,463.045,493.045
stream,162,478.0,478.045,463.045,493.045
stream,163,478.0,478.045,463.045,493.045
stream,164,478.0,478.045,463.045,493.045
stream,165,478.0,478.045,463.045,493.045
stream,166,479.0,478.045,463.045,493.045
stream,167,478.0,478.045,463.045,493.045
stream,168,478.0,478.045,463.045,493.045
stream,169,477.0,478.045,463.045,493.045
stream,170,478.0,478.045,463.045,493.045
stream,171,478.0,478.045,463.045,493.045
stream,172,479.0,478.045,463.045,493.045
stream,173,478.0,478.045,463.045,493.045
stream,174,479.0,478.045,463.045,493.045
stream,175,478.0,478.045,463.045,493.045
stream,176,479.0,478.045,463.045,493.045
stream,177,479.0,478.045,463.045,493.045
stream,178,478.0,478.045,463.045,493.045
stream,179,479.0,478.045,463.045,493.045
stream,180,478.0,478.045,463.045,493.045
stream,181,478.0,478.045,463.045,493.045
stream,182,479.0,478.045,463.045,493.045
stream,183,479.0,478.045,463.045,493.045
stream,184,479.0,478.045,463.045,493.045
stream,185,478.0,478.045,463.045,493.045
stream,186,479.0,478.045,463.045,493.045
stream,187,478.0,478.045,463.045,493.045
stream,188,478.0,478.045,463.045,493.045
stream,189,479.0,478.045,463.045,493.045
stream,190,478.0,478.045,463.045,493.045
stream,191,478.0,478.045,463.045,493.045
stream,192,478.0,478.045,463.045,493.045
stream,193,479.0,478.045,463.045,493.045
stream,194,478.0,478.045,463.045,493.045
stream,195,478.0,478.045,463.045,493.045
stream,196,478.0,478.045,463.045,493.045
stream,197,478.0,478.045,463.045,493.045
stream,198,478.0,478.045,463.045,493.045
stream,199,477.0,478.045,463.045,493.045
stream,200,478.0,478.045,463.045,493.045
stream,201,479.0,478.045,463.045,493.045
stream,202,478.0,478.045,463.045,493.045
stream,203,478.0,478.045,463.045,493.045
stream,204,478.0,478.045,463.045,493.045
stream,205,479.0,478.045,463.045,493.045
stream,206,478.0,478.045,463.045,493.045
stream,207,478.0,478.045,463.045,493.045
stream,208,479.0,478.045,463.045,493.045
stream,209,478.0,478.045,463.045,493.045
stream,210,478.0,478.045,463.045,493.045
stream,211,478.0,478.045,463.045,493.045
stream,212,478.0,478.045,463.045,493.045
stream,213,478.0,478.045,463.045,493.045
stream,214,478.0,478.045,463.045,493.045
stream,215,479.0,478.045,463.045,493.045
stream,216,478.0,478.045,463.045,493.045
stream,217,478.0,478.045,463.045,493.045
stream,218,478.0,478.045,463.045,493.045
stream,219,477.0,478.045,463.045,493.045
stream,220,478.0,478.045,463.045,493.045
stream,221,478.0,478.045,463.045,493.045
stream,222,477.0,478.045,463.045,493.045
stream,223,478.0,478.045,463.045,493.045
stream,224,478.0,478.045,463.045,493.045
stream,225,478.0,478.045,463.045,493.045
stream,226,478.0,478.045,463.045,493.045
stream,227,478.0,478.045,463.045,493.045
stream,228,478.0,478.045,463.045,493.045
stream,229,478.0,478.045,463.045,493.045
stream,230,478.0,478.045,463.045,493.045
stream,231,478.0,478.045,463.045,493.045
stream,232,478.0,478.045,463.045,493.045
stream,233,478.0,478.045,463.045,493.045
stream,234,478.0,478.045,463.045,493.045
stream,235,478.0,478.045,463.045,493.045
stream,236,478.0,478.045,463.045,493.045
stream,237,478.0,478.045,463.045,493.045
stream,238,478.0,478.045,463.045,493.045
stream,239,478.0,478.045,463.045,493.045
stream,240,478.0,478.045,463.045,493.045
stream,241,478.0,478.045,463.045,493.045
stream,242,479.0,478.045,463.045,493.045
stream,243,478.0,478.045,463.045,493.045
stream,244,478.0,478.045,463.045,493.045
stream,245,478.0,478.045,463.045,493.045
stream,246,478.0,478.045,463.045,493.045
stream,247,479.0,478.045,463.045,493.045
stream,248,479.0,478.045,463.045,493.045
stream,249,478.0,478.045,463.045,493.045
stream,250,479.0,478.045,463.045,493.045
stream,251,479.0,478.045,463.045,493.045
stream,252,479.0,478.045,463.045,493.045
stream,253,479.0,478.045,463.045,493.045
stream,254,478.0,478.045,463.045,493.045
stream,255,479.0,478.045,463.045,493.045
stream,256,479.0,478.045,463.045,493.045
stream,257,479.0,478.045,463.045,493.045
stream,258,478.0,478.045,463.045,493.045
stream,259,479.0,478.045,463.045,493.045
stream,260,479.0,478.045,463.045,493.045
stream,261,479.0,478.045,463.045,493.045
stream,262,479.0,478.045,463.045,493.045
stream,263,479.0,478.045,463.045,493.045
stream,264,479.0,478.045,463.045,493.045
stream,265,480.0,478.045,463.045,493.045
stream,266,479.0,478.045,463.045,493.045
stream,267,480.0,478.045,463.045,493.045
stream,268,479.0,478.045,463.045,493.045
stream,269,480.0,478.045,463.045,493.045
stream,270,479.0,478.045,463.045,493.045
stream,271,479.0,478.045,463.045,493.045
stream,272,479.0,478.045,463.045,493.045
stream,273,478.0,478.045,463.045,493.045
stream,274,479.0,478.045,463.045,493.045
stream,275,480.0,478.045,463.045,493.045
stream,276,479.0,478.045,463.045,493.045
stream,277,480.0,478.045,463.045,493.045
stream,278,479.0,478.045,463.045,493.045
stream,279,480.0,478.045,463.045,493.045
stream,280,479.0,478.045,463.045,493.045
stream,281,479.0,478.045,463.045,493.045
stream,282,479.0,478.045,463.045,493.045
stream,283,479.0,478.045,463.045,493.045
stream,284,480.0,478.045,463.045,493.045
stream,285,479.0,478.045,463.045,493.045
stream,286,480.0,478.045,463.045,493.045
stream,287,480.0,478.045,463.045,493.045
stream,288,480.0,478.045,463.045,493.045
stream,289,480.0,478.045,463.045,493.045
stream,290,479.0,478.045,463.045,493.045
stream,291,480.0,478.045,463.045,493.045
stream,292,479.0,478.045,463.045,493.045
stream,293,479.0,478.045,463.045,493.045
stream,294,479.0,478.045,463.045,493.045
stream,295,480.0,478.045,463.045,493.045
stream,296,480.0,478.045,463.045,493.045
stream,297,479.0,478.045,463.045,493.045
stream,298,480.0,478.045,463.045,493.045
stream,299,480.0,478.045,463.045,493.045
stream,300,479.0,478.045,463.045,493.045
stream,301,480.0,478.045,463.045,493.045
stream,302,479.0,478.045,463.045,493.045
stream,303,479.0,478.045,463.045,493.045
stream,304,479.0,478.045,463.045,493.045
stream,305,479.0,478.045,463.045,493.045
stream,306,479.0,478.045,463.045,493.045
stream,307,479.0,478.045,463.045,493.045
stream,308,478.0,478.045,463.045,493.045
stream,309,479.0,478.045,463.045,493.045
stream,310,478.0,478.045,463.045,493.045
stream,311,479.0,478.045,463.045,493.045
stream,312,478.0,478.045,463.045,493.045
stream,313,478.0,478.045,463.045,493.045
stream,314,479.0,478.045,463.045,493.045
stream,315,478.0,478.045,463.045,493.045
stream,316,479.0,478.045,463.045,493.045
stream,317,478.0,478.045,463.045,493.045
stream,318,480.0,478.045,463.045,493.045
stream,319,479.0,478.045,463.045,493.045
stream,320,479.0,478.045,463.045,493.045
stream,321,479.0,478.045,463.045,493.045
stream,322,479.0,478.045,463.045,493.045
stream,323,479.0,478.045,463.045,493.045
stream,324,479.0,478.045,463.045,493.045
stream,325,479.0,478.045,463.045,493.045
stream,326,479.0,478.045,463.045,493.045
stream,327,479.0,478.045,463.045,493.045
stream,328,480.0,478.045,463.045,493.045
stream,329,479.0,478.045,463.045,493.045
stream,330,479.0,478.045,463.045,493.045
stream,331,479.0,478.045,463.045,493.045
stream,332,479.0,478.045,463.045,493.045
stream,333,480.0,478.045,463.045,493.045
stream,334,479.0,478.045,463.045,493.045
stream,335,479.0,478.045,463.045,493.045
stream,336,479.0,478.045,463.045,493.045
stream,337,479.0,478.045,463.045,493.045
stream,338,480.0,478.045,463.045,493.045
stream,339,479.0,478.045,463.045,493.045
stream,340,480.0,478.045,463.045,493.045
stream,341,479.0,478.045,463.045,493.045
stream,342,480.0,478.045,463.045,493.045
stream,343,480.0,478.045,463.045,493.045
stream,344,480.0,478.045,463.045,493.045
stream,345,480.0,478.045,463.045,493.045
stream,346,480.0,478.045,463.045,493.045
stream,347,479.0,478.045,463.045,493.045
stream,348,480.0,478.045,463.045,493.045
stream,349,479.0,478.045,463.045,493.045
stream,350,480.0,478.045,463.045,493.045
stream,351,480.0,478.045,463.045,493.045
stream,352,480.0,478.045,463.045,493.045
stream,353,480.0,478.045,463.045,493.045
stream,354,479.0,478.045,463.045,493.045
stream,355,479.0,478.045,463.045,493.045
stream,356,479.0,478.045,463.045,493.045
stream,357,480.0,478.045,463.045,493.045
stream,358,479.0,478.045,463.045,493.045
stream,359,480.0,478.045,463.045,493.045
stream,360,480.0,478.045,463.045,493.045
stream,361,480.0,478.045,463.045,493.045
stream,362,480.0,478.045,463.045,493.045
stream,363,480.0,478.045,463.045,493.045
stream,364,480.0,478.045,463.045,493.045
stream,365,480.0,478.045,463.045,493.045
stream,366,480.0,478.045,463.045,493.045
stream,367,480.0,478.045,463.045,493.045
stream,368,480.0,478.045,463.045,493.045
stream,369,480.0,478.045,463.045,493.045
stream,370,480.0,478.045,463.045,493.045
stream,371,479.0,478.045,463.045,493.045
stream,372,480.0,478.045,463.045,493.045
stream,373,478.0,478.045,463.045,493.045
stream,374,479.0,478.045,463.045,493.045
stream,375,478.0,478.045,463.045,493.045
stream,376,478.0,478.045,463.045,493.045
stream,377,477.0,478.045,463.045,493.045
stream,378,478.0,478.045,463.045,493.045
stream,379,478.0,478.045,463.045,493.045
stream,380,477.0,478.045,463.045,493.045
stream,381,478.0,478.045,463.045,493.045
stream,382,477.0,478.045,463.045,493.045
stream,383,478.0,478.045,463.045,493.045
stream,384,477.0,478.045,463.045,493.045
stream,385,478.0,478.045,463.045,493.045
stream,386,476.0,478.045,463.045,493.045
stream,387,477.0,478.045,463.045,493.045
stream,388,476.0,478.045,463.045,493.045
stream,389,477.0,478.045,463.045,493.045
stream,390,477.0,478.045,463.045,493.045
stream,391,477.0,478.045,463.045,493.045
stream,392,476.0,478.045,463.045,493.045
stream,393,477.0,478.045,463.045,493.045
stream,394,476.0,478.045,463.045,493.045
stream,395,475.0,478.045,463.045,493.045
stream,396,476.0,478.045,463.045,493.045
stream,397,476.0,478.045,463.045,493.045
stream,398,476.0,478.045,463.045,493.045
stream,399,475.0,478.045,463.045,493.045
stream,400,476.0,478.045,463.045,493.045
stream,401,475.0,478.045,463.045,493.045
stream,402,475.0,478.045,463.045,493.045
stream,403,476.0,478.045,463.045,493.045
stream,404,475.0,478.045,463.045,493.045
stream,405,475.0,478.045,463.045,493.045
stream,406,476.0,478.045,463.045,493.045
stream,407,475.0,478.045,463.045,493.045
stream,408,477.0,478.045,463.045,493.045
stream,409,476.0,478.045,463.045,493.045
stream,410,476.0,478.045,463.045,493.045
stream,411,476.0,478.045,463.045,493.045
stream,412,477.0,478.045,463.045,493.045
stream,413,476.0,478.045,463.045,493.045
stream,414,476.0,478.045,463.045,493.045
stream,415,476.0,478.045,463.045,493.045
stream,416,476.0,478.045,463.045,493.045
stream,417,476.0,478.045,463.045,493.045
stream,418,475.0,478.045,463.045,493.045
stream,419,476.0,478.045,463.045,493.045
stream,420,475.0,478.045,463.045,493.045
stream,421,475.0,478.045,463.045,493.045
stream,422,476.0,478.045,463.045,493.045
stream,423,476.0,478.045,463.045,493.045
stream,424,476.0,478.045,463.045,493.045
stream,425,475.0,478.045,463.045,493.045
stream,426,476.0,478.045,463.045,493.045
stream,427,476.0,478.045,463.045,493.045
stream,428,476.0,478.045,463.045,493.045
stream,429,477.0,478.045,463.045,493.045
stream,430,476.0,478.045,463.045,493.045
stream,431,476.0,478.045,463.045,493.045
stream,432,476.0,478.045,463.045,493.045
stream,433,476.0,478.045,463.045,493.045
stream,434,475.0,478.045,463.045,493.045
stream,435,476.0,478.045,463.045,493.045
stream,436,475.0,478.045,463.045,493.045
stream,437,476.0,478.045,463.045,493.045
stream,438,475.0,478.045,463.045,493.045
stream,439,476.0,478.045,463.045,493.045
stream,440,476.0,478.045,463.045,493.045
stream,441,475.0,478.045,463.045,493.045
stream,442,476.0,478.045,463.045,493.045
stream,443,476.0,478.045,463.045,493.045
stream,444,475.0,478.045,463.045,493.045
stream,445,475.0,478.045,463.045,493.045
stream,446,476.0,478.045,463.045,493.045
stream,447,475.0,478.045,463.045,493.045
stream,448,475.0,478.045,463.045,493.045
stream,449,476.0,478.045,463.045,493.045
stream,450,477.0,478.045,463.045,493.045
stream,451,476.0,478.045,463.045,493.045
stream,452,477.0,478.045,463.045,493.045
stream,453,476.0,478.045,463.045,493.045
stream,454,476.0,478.045,463.045,493.045
stream,455,477.0,478.045,463.045,493.045
stream,456,477.0,478.045,463.045,493.045
stream,457,476.0,478.045,463.045,493.045
stream,458,477.0,478.045,463.045,493.045
stream,459,476.0,478.045,463.045,493.045
stream,460,477.0,478.045,463.045,493.045
stream,461,477.0,478.045,463.045,493.045
stream,462,476.0,478.045,463.045,493.045
stream,463,477.0,478.045,463.045,493.045
stream,464,476.0,478.045,463.045,493.045
stream,465,476.0,478.045,463.045,493.045
stream,466,476.0,478.045,463.045,493.045
stream,467,476.0,478.045,463.045,493.045
stream,468,475.0,478.045,463.045,493.045
stream,469,476.0,478.045,463.045,493.045
stream,470,476.0,478.045,463.045,493.045
stream,471,475.0,478.045,463.045,493.045
stream,472,475.0,478.045,463.045,493.045
stream,473,477.0,478.045,463.045,493.045
stream,474,476.0,478.045,463.045,493.045
stream,475,477.0,478.045,463.045,493.045
stream,476,477.0,478.045,463.045,493.045
stream,477,477.0,478.045,463.045,493.045
stream,478,477.0,478.045,463.045,493.045
stream,479,477.0,478.045,463.045,493.045
stream,480,477.0,478.045,463.045,493.045
stream,481,477.0,478.045,463.045,493.045
stream,482,477.0,478.045,463.045,493.045
stream,483,478.0,478.045,463.045,493.045
stream,484,477.0,478.045,463.045,493.045
stream,485,477.0,478.045,463.045,493.045
stream,486,478.0,478.045,463.045,493.045
stream,487,477.0,478.045,463.045,493.045
stream,488,478.0,478.045,463.045,493.045
stream,489,477.0,478.045,463.045,493.045
stream,490,477.0,478.045,463.045,493.045
stream,491,477.0,478.045,463.045,493.045
stream,492,478.0,478.045,463.045,493.045
stream,493,477.0,478.045,463.045,493.045
stream,494,477.0,478.045,463.045,493.045
stream,495,477.0,478.045,463.045,493.045
stream,496,476.0,478.045,463.045,493.045
stream,497,477.0,478.045,463.045,493.045
stream,498,477.0,478.045,463.045,493.045
stream,499,477.0,478.045,463.045,493.045
stream,500,477.0,478.045,463.045,493.045
stream,501,477.0,478.045,463.045,493.045
stream,502,477.0,478.045,463.045,493.045
stream,503,476.0,478.045,463.045,493.045
stream,504,477.0,478.045,463.045,493.045
stream,505,477.0,478.045,463.045,493.045
stream,506,477.0,478.045,463.045,493.045
stream,507,477.0,478.045,463.045,493.045
stream,508,477.0,478.045,463.045,493.045
stream,509,478.0,478.045,463.045,493.045
stream,510,477.0,478.045,463.045,493.045
stream,511,478.0,478.045,463.045,493.045
stream,512,477.0,478.045,463.045,493.045
stream,513,478.0,478.045,463.045,493.045
stream,514,477.0,478.045,463.045,493.045
stream,515,478.0,478.045,463.045,493.045
stream,516,478.0,478.045,463.045,493.045
stream,517,477.0,478.045,463.045,493.045
stream,518,478.0,478.045,463.045,493.045
stream,519,477.0,478.045,463.045,493.045
stream,520,478.0,478.045,463.045,493.045
stream,521,477.0,478.045,463.045,493.045
stream,522,478.0,478.045,463.045,493.045
stream,523,478.0,478.045,463.045,493.045
stream,524,477.0,478.045,463.045,493.045
stream,525,478.0,478.045,463.045,493.045
stream,526,477.0,478.045,463.045,493.045
stream,527,477.0,478.045,463.045,493.045
stream,528,478.0,478.045,463.045,493.045
stream,529,477.0,478.045,463.045,493.045
stream,530,477.0,478.045,463.045,493.045
stream,531,478.0,478.045,463.045,493.045
stream,532,477.0,478.045,463.045,493.045
stream,533,478.0,478.045,463.045,493.045
stream,534,477.0,478.045,463.045,493.045
stream,535,477.0,478.045,463.045,493.045
stream,536,478.0,478.045,463.045,493.045
stream,537,477.0,478.045,463.045,493.045
