scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E4-PCS,G10,control,PW-WTC,900,2,0.0022222222222222222
E4-PCS,G10,control,E-CCDC,900,35,0.03888888888888889
E4-PCS,G10,control,CD2-P,900,0,0.0
E4-PCS,G10,control,clkBM,900,0,0.0
E4-PCS,G23,control,PW-WTC,900,0,0.0
E4-PCS,G23,control,E-CCDC,900,192,0.21333333333333335
E4-PCS,G23,control,CD2-P,900,30,0.03333333333333333
E4-PCS,G23,control,clkBM,900,0,0.0
E4-PCS,G25,control,PW-WTC,900,0,0.0
E4-PCS,G25,control,E-CCDC,900,0,0.0
E4-PCS,G25,control,CD2-P,900,0,0.0
E4-PCS,G25,control,clkBM,900,0,0.0
E4-PCS,G32,target,PW-WTC,900,814,0.9044444444444445
E4-PCS,G32,target,E-CCDC,900,897,0.9966666666666667
E4-PCS,G32,target,CD2-P,900,900,1.0
E4-PCS,G32,target,clkBM,900,0,0.0
