segment,end_index,PW_WTC,E_CCDC,CD2_P
stream,0,,,
stream,1,,,
stream,2,,,
stream,3,,,
stream,4,,,
stream,5,,,
stream,6,,,
stream,7,,,
stream,8,,,
stream,9,,,
stream,10,,,
stream,11,,,
stream,12,,,
stream,13,,,
stream,14,,,
stream,15,,,
stream,16,,,
stream,17,,,
stream,18,,,
stream,19,,,
stream,20,,15.960559834288707,
stream,21,,16.123753837120038,1.117715367818857
stream,22,,15.5118322921558,1.1494603771535516
stream,23,,15.686965434364843,1.2146381307924203
stream,24,,15.899941857932104,1.296218302268261
stream,25,,15.848989439291811,1.3205108419502294
stream,26,,15.066103829899838,1.4058753845743566
stream,27,,14.461763431499762,1.4619556749184934
stream,28,,15.776566234123042,1.512788861107163
stream,29,,16.160193718162592,1.4947018139308557
stream,30,,13.867294198273376,1.4742550608954068
stream,31,,16.004643066653216,1.4151499957077986
stream,32,,17.913938030250137,1.4152487180042608
stream,33,,18.595343864934257,1.3440818349217132
stream,34,,18.944933807800027,1.345476880662446
stream,35,,15.433316103733343,1.1506664609725297
stream,36,,15.460572028691317,1.0891022189617503
stream,37,,16.417577942384625,1.112910153897494
stream,38,,19.426302607437414,1.0288719143058394
stream,39,,19.352182373792672,0.9746418021022767
stream,40,,19.93307875345304,1.0182111811735213
stream,41,,20.941947015297966,1.0155251093096254
stream,42,,21.017192078135082,1.0908220723589201
stream,43,,19.757469508986418,1.0170678000286169
stream,44,,19.614299873422638,0.911203437595609
stream,45,,19.173046362827005,0.8675359581362653
stream,46,,20.181708026628897,0.8232494453744383
stream,47,,21.746562540089457,0.7608415479974653
stream,48,,20.325886384052737,0.6584974909191877
stream,49,,19.810707357620725,0.6514426373906902
stream,50,,20.600921746769156,0.669922267164717
stream,51,,19.024670772240214,0.5830498113035006
stream,52,,18.126987641944105,0.58371456677217
stream,53,,21.11948083705649,0.6314785288330262
stream,54,,25.266364937738523,0.630291745722479
stream,55,,24.85617785860022,0.7308068694678325
stream,56,,28.59877363296678,0.8246321625695145
stream,57,,32.63363934249206,0.7991135137167081
stream,58,,32.65174255373754,0.7794033419114196
stream,59,,34.95747171853538,0.7154715364619205
stream,60,,35.27256675826499,0.6667613316990165
stream,61,,33.95068237658042,0.684775675940424
stream,62,,34.56732281407721,0.6063396117637573
stream,63,,35.30200083577404,0.7319947565199021
stream,64,,36.18689375875393,0.863053117542316
stream,65,,36.21922768089731,0.8838464870459863
stream,66,,34.84340737128341,0.8515086914922918
stream,67,,33.215386500028586,0.8862661962277232
stream,68,,33.56730801948621,0.8828414313019607
stream,69,,33.967273315732385,0.8735563694648835
stream,70,,34.57916754743205,0.8411189493699469
stream,71,,33.7268998145265,0.886786868517414
stream,72,,32.5526002080195,0.8861283377461515
stream,73,,28.203510005810728,0.8493038270826184
stream,74,,24.422442831510377,0.8822345841253533
stream,75,,25.315157345617997,0.6889983563697204
stream,76,,22.872631269373517,0.7085789741418458
stream,77,,17.677183172316546,0.7261580900176483
stream,78,,13.584793785595355,0.7427266146348803
stream,79,,12.597155264470151,0.830519208886328
stream,80,,13.419772769783354,0.811748713892784
stream,81,,14.564048911660693,0.9730494513142132
stream,82,,13.735926850631776,0.9769971848166975
stream,83,,12.96814013784368,0.8524602730092152
stream,84,,13.315400135301378,0.7371471266734718
stream,85,,13.268343692257211,0.7472468063605198
stream,86,,12.88418852087869,0.7290760462118437
stream,87,,18.53046162684898,0.8971520753429274
stream,88,,18.243461347000565,0.9956769044053609
stream,89,,18.430783862748243,0.993241132239617
stream,90,,17.51358496891581,0.9802338240772888
stream,91,,17.61894463306991,0.9411070743450828
stream,92,,17.66000313732815,0.9490803023790237
stream,93,,17.532125948092006,0.9472851502120501
stream,94,,17.006463082625142,0.924811144093408
stream,95,,17.031829362118685,0.9209552437344061
stream,96,,16.188755253793104,0.7722447374971775
stream,97,,16.172066528824132,0.7601051280375513
stream,98,,18.16752530086731,0.7807128457160412
stream,99,,16.37343142215947,0.760459084049503
stream,100,,17.060132620010613,0.8279397333236883
stream,101,,16.197900828591894,0.6673243599899662
stream,102,,16.606471604451507,0.6326228651161947
stream,103,,16.72845587149393,0.6334806440987948
stream,104,,15.984743578494236,0.6066115352259674
stream,105,,16.050647649372674,0.5792323377948548
stream,106,,18.551879665806613,0.6597944996935429
stream,107,,12.921048565867526,0.5969485970942711
stream,108,,13.602049994819577,0.5045619572674904
stream,109,,13.592914260638153,0.5055875129392443
stream,110,,15.633688206746598,0.52196653982178
stream,111,,17.371776169959457,0.5163560313530323
stream,112,,17.611397899501632,0.5294106970942689
stream,113,,17.515314992408886,0.5362679255325306
stream,114,,18.045518310403875,0.564539016442482
stream,115,,20.368863686189552,0.5888812563327556
stream,116,,19.81787702450852,0.6843119581099704
stream,117,,19.79260771095109,0.6829215501307891
stream,118,,17.985254780308413,0.643314147147075
stream,119,,18.02766888558918,0.5906480497429287
stream,120,,15.742525883398946,0.547078719991482
stream,121,,15.681609493822373,0.5484378563523046
stream,122,,18.829468294339566,0.753297058600257
stream,123,,19.978431047791375,0.7648960098591817
stream,124,,19.827113077415454,0.7705803248373413
stream,125,,19.82418605587135,0.7728381726816258
stream,126,,27.24049896148022,1.055676392457947
stream,127,,27.322329059425584,1.1795019898895054
stream,128,,26.382172841203328,1.1626427929176066
stream,129,,26.49829323745059,1.1723954635359508
stream,130,,26.82859464438464,1.1829815338766783
stream,131,,25.054421656407875,1.2483097303975752
stream,132,,32.76217860802728,1.4686545329901604
stream,133,,34.80089818042513,1.5147345912884127
stream,134,,40.15686850855068,1.5392448857231371
stream,135,,37.09452486272262,1.8327700137938412
stream,136,,37.09327295161443,1.7473971020747343
stream,137,,39.395559724232626,1.8155079291013245
stream,138,,40.906917114208994,1.8163015817360906
stream,139,,41.070624280487635,1.8143896977582843
stream,140,,41.140609964355534,1.7900477287251801
stream,141,,40.95910244365836,1.76400139810764
stream,142,,37.67825140109107,1.5638144691266882
stream,143,,36.556274413845465,1.5506424231055917
stream,144,,36.38651372534553,1.577911939890103
stream,145,,37.00171485141945,1.6407648008910547
stream,146,,27.325333546678024,1.2779288773073367
stream,147,,28.597793417432317,1.0321268018677534
stream,148,,28.639341476307397,1.1194463800266683
stream,149,,28.199152558948384,1.1088674495602495
stream,150,,30.26947858417988,1.1600262039150833
stream,151,,30.42468913610203,1.330977320639927
stream,152,,22.534374676516858,1.1041455836671927
stream,153,,21.94337951143585,1.066787893438271
stream,154,,15.74823108053767,1.163545365245586
stream,155,,15.587932701095474,0.872064703782958
stream,156,,15.858284950613303,0.8665134548000417
stream,157,,13.608654556511237,0.7933624660447842
stream,158,,12.510632180454621,0.7986949478981481
stream,159,,12.331612843728816,0.7945985452523144
stream,160,,12.549265761844989,0.8044351016627012
stream,161,,12.51391023108747,0.8291223595700861
stream,162,,13.479531080159887,0.8583886511275326
stream,163,,13.648866039626856,0.9804796384513892
stream,164,,13.4309312086982,0.9591626019602685
stream,165,,12.75914506490544,0.8850601717895701
stream,166,,12.714943917840273,0.8957353726575958
stream,167,,11.493591327087888,0.9166674317747052
stream,168,,11.427119496479131,0.8298739385927081
stream,169,,11.196811712920816,0.8296797846131565
stream,170,,6.290586357287076,0.7515559170757198
stream,171,,6.098352148710449,0.5140269994006725
stream,172,,6.174228456017695,0.5010472491702083
stream,173,,5.615898815074115,0.553438951547609
stream,174,,5.7825336284900075,0.5250343208999351
stream,175,,6.01155468004652,0.5654912422708064
stream,176,,5.788794151284591,0.5772364156194187
stream,177,,6.383884350840454,0.6246879966043628
stream,178,,5.708274413244807,0.646183254443932
stream,179,,5.781421516485689,0.6308887645344428
stream,180,,7.016483635677543,0.6503918941411618
stream,181,,7.274295015033206,0.7448511364091831
stream,182,,7.50796540209479,0.823005195252963
stream,183,,8.036916404531866,0.8260784063845464
stream,184,,8.717869446353244,0.9184093034905827
stream,185,,13.594302550954929,1.2604787756444211
stream,186,,17.0265628646678,1.8334199695297655
stream,187,,16.910387359333324,1.8779717001739242
stream,188,,17.121458092975665,1.8805450489095095
stream,189,,18.643958230765143,1.9024571827725933
stream,190,,20.141912053429976,1.901345496127541
stream,191,,21.65421678420916,1.9012019407219796
stream,192,,21.481624866425083,1.9581305490329861
stream,193,,22.03777675625146,1.9420734625676288
stream,194,,22.967510812868795,1.8124220639359208
stream,195,,22.732190113319653,1.7836656689999517
stream,196,,23.205475424972512,1.779899621743809
stream,197,,23.23209302756661,1.7328199771685149
stream,198,,23.235900632274085,1.7218240934439528
stream,199,,23.83941994210366,1.7623898773641067
stream,200,,22.227613631984664,1.7850353181014618
stream,201,,22.0302670233104,1.6749572653172486
stream,202,,20.68316512471859,1.5802390083118791
stream,203,,20.63727665536419,1.501720983800413
stream,204,,20.245972220492284,1.484151037299136
stream,205,,15.549312325951387,1.176787715277055
stream,206,,13.640700730959125,0.6178587253042954
stream,207,,13.64176177095805,0.5691675316225959
stream,208,,14.406015097298022,0.5883738388768781
stream,209,,12.86488005824529,0.5976553957001347
stream,210,,15.75129292457278,0.7196567077483237
stream,211,,14.21976206460413,0.8887097932944115
stream,212,,14.323250705341284,0.8329360811048051
stream,213,,13.152454851782029,0.7987131518042289
stream,214,,11.861604675633885,0.8505028953269669
stream,215,,12.283357179204488,0.8885186484096258
stream,216,,11.766841149569935,0.9049787350864469
