scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E4-FCS,G26,,PW-WTC,900,871,0.9677777777777777
E4-FCS,G26,,E-CCDC,900,49,0.05444444444444444
E4-FCS,G26,,CD2-P,900,54,0.06
E4-FCS,G26,,clkBM,900,866,0.9622222222222222
E4-FCS,G28,,PW-WTC,900,645,0.7166666666666667
E4-FCS,G28,,E-CCDC,900,54,0.06
E4-FCS,G28,,CD2-P,900,54,0.06
E4-FCS,G28,,clkBM,900,866,0.9622222222222222
E4-FCS,G31,,PW-WTC,900,648,0.72
E4-FCS,G31,,E-CCDC,900,54,0.06
E4-FCS,G31,,CD2-P,900,55,0.06111111111111111
E4-FCS,G31,,clkBM,900,866,0.9622222222222222
E4-FCS,G32,,PW-WTC,900,652,0.7244444444444444
E4-FCS,G32,,E-CCDC,900,53,0.058888888888888886
E4-FCS,G32,,CD2-P,900,54,0.06
E4-FCS,G32,,clkBM,900,866,0.9622222222222222
