segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,0,,487.0133333333333,472.0133333333333,502.0133333333333
stream,1,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,2,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,3,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,4,490.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,5,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,6,490.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,7,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,8,490.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,9,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,10,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,11,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,12,490.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,13,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,14,490.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,15,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,16,490.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,17,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,18,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,19,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,20,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,21,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,22,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,23,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,24,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,25,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,26,490.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,27,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,28,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,29,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,30,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,31,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,32,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,33,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,34,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,35,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,36,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,37,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,38,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,39,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,40,487.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,41,487.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,42,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,43,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,44,487.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,45,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,46,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,47,488.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,48,489.0,487.0133333333333,472.0133333333333,502.0133333333333
stream,49,489.0,487.0133333333333,472.0133333333333,502.0133333333333
